n_cells,replicate,window_width,estimated_midpoint,error
12,67,5,14.830805710933229,-5.1691942890667715
12,67,9,13.655210430019814,-6.344789569980186
12,68,1,19.474043532054,-0.5259564679459992
12,68,5,18.37130122744786,-1.6286987725521413
12,68,9,17.981348424971248,-2.018651575028752
12,69,1,20.40675696656919,0.4067569665691906
12,69,5,19.18325865659772,-0.8167413434022812
12,69,9,18.759154081652856,-1.2408459183471443
12,70,1,20.015975682935668,0.01597568293566809
12,70,5,19.24336872734804,-0.7566312726519584
12,70,9,18.82090171284973,-1.1790982871502713
12,71,1,20.46804624639707,0.46804624639706915
12,71,5,18.86215923037749,-1.1378407696225104
12,71,9,18.598494175983436,-1.4015058240165637
12,72,1,20.027255952454112,0.027255952454112276
12,72,5,19.126500110466292,-0.8734998895337078
12,72,9,18.71449374715143,-1.2855062528485703
12,73,1,19.088533953255503,-0.911466046744497
12,73,5,17.829063393895,-2.1709366061049984
12,73,9,17.493828180688727,-2.506171819311273
12,74,1,17.908284627819683,-2.0917153721803174
12,74,5,16.908134162344805,-3.0918658376551953
12,74,9,16.55206643138158,-3.4479335686184207
12,75,1,19.249428401211023,-0.7505715987889765
12,75,5,18.238695881767864,-1.761304118232136
12,75,9,17.67030831791775,-2.329691682082249
12,76,1,19.6318539764227,-0.36814602357729953
12,76,5,19.169251835358082,-0.8307481646419177
12,76,9,18.875158856672385,-1.1248411433276146
12,77,1,19.704324873038747,-0.2956751269612532
12,77,5,19.134533567248482,-0.8654664327515178
12,77,9,18.77030358107985,-1.229696418920149
12,78,1,19.684282799323487,-0.315717200676513
12,78,5,18.62467381110565,-1.3753261888943484
12,78,9,18.273338898861155,-1.7266611011388449
12,79,1,20.010503822309836,0.010503822309836153
12,79,5,19.502744595292818,-0.49725540470718244
12,79,9,19.30024864422038,-0.6997513557796218
12,80,1,19.67784627440334,-0.3221537255966602
12,80,5,18.956632253212405,-1.0433677467875953
12,80,9,18.3750965544769,-1.624903445523099
12,81,1,18.461900455720677,-1.5380995442793228
12,81,5,17.59529933747916,-2.4047006625208383
12,81,9,17.221790970547556,-2.7782090294524444
12,82,1,19.589716102780095,-0.4102838972199052
12,82,5,19.125851314458576,-0.8741486855414244
12,82,9,18.85384074381282,-1.146159256187179
12,83,1,18.546051998142275,-1.453948001857725
12,83,5,17.481845629555703,-2.5181543704442966
12,83,9,17.183929400872845,-2.816070599127155
12,84,1,20.069598713002215,0.06959871300221465
12,84,5,17.80984836374,-2.1901516362600013
12,84,9,16.981328736349518,-3.018671263650482
12,85,1,18.508786233180103,-1.4912137668198966
12,85,5,17.598155334759536,-2.401844665240464
12,85,9,17.200893238151913,-2.799106761848087
12,86,1,20.677887071821296,0.6778870718212957
12,86,5,19.440492781543195,-0.5595072184568046
12,86,9,18.89788587540835,-1.102114124591651
12,87,1,19.391883552689716,-0.6081164473102838
12,87,5,18.489393140552064,-1.510606859447936
12,87,9,18.086007276948827,-1.913992723051173
12,88,1,19.573703648511394,-0.426296351488606
12,88,5,18.617950231051,-1.382049768948999
12,88,9,18.424615744097178,-1.5753842559028222
12,89,1,20.059128090344476,0.05912809034447619
12,89,5,18.1973537844564,-1.8026462155436
12,89,9,17.658115825346762,-2.341884174653238
12,90,1,19.620364393348765,-0.3796356066512345
12,90,5,18.991426574350957,-1.0085734256490433
12,90,9,18.694398761175123,-1.3056012388248774
12,91,1,17.95706800209196,-2.0429319979080383
12,91,5,17.714625902666818,-2.2853740973331824
12,91,9,17.24901226445858,-2.7509877355414183
12,92,1,19.46769923796489,-0.5323007620351099
12,92,5,18.766550553711376,-1.233449446288624
12,92,9,18.578202084657157,-1.421797915342843
12,93,1,19.847153451221764,-0.15284654877823556
12,93,5,18.91288615428535,-1.0871138457146508
12,93,9,18.660634080668192,-1.339365919331808
12,94,1,19.631577262646143,-0.3684227373538569
12,94,5,18.918838745792474,-1.081161254207526
12,94,9,18.665620879980647,-1.3343791200193529
12,95,1,19.99275311705955,-0.00724688294044995
12,95,5,18.886782393160576,-1.1132176068394237
12,95,9,18.684276202670347,-1.3157237973296532
12,96,1,18.732982219335785,-1.267017780664215
12,96,5,18.29076354961713,-1.7092364503828712
12,96,9,18.084117327487085,-1.9158826725129146
12,97,1,19.925555029720073,-0.07444497027992725
12,97,5,19.122436893862957,-0.8775631061370426
12,97,9,18.855737915616974,-1.1442620843830262
12,98,1,20.024987229023314,0.024987229023313517
12,98,5,18.890858018511256,-1.1091419814887438
12,98,9,18.571265616933633,-1.4287343830663666
12,99,1,19.177631810272118,-0.8223681897278823
12,99,5,18.276707796735906,-1.7232922032640943
12,99,9,17.987340819299448,-2.0126591807005525
24,0,1,19.112946768121855,-0.887053231878145
24,0,5,18.135943426740177,-1.8640565732598233
24,0,9,17.891658475705828,-2.108341524294172
24,1,1,19.424244216720293,-0.5757557832797069
24,1,5,18.43453040756552,-1.5654695924344786
24,1,9,18.060514151143252,-1.939485848856748
24,2,1,19.827167485895135,-0.172832514104865
24,2,5,18.396632003532336,-1.6033679964676644
24,2,9,17.826977980919743,-2.173022019080257
24,3,1,18.812664014263998,-1.1873359857360022
24,3,5,17.842832241082863,-2.1571677589171365
24,3,9,17.39292740562176,-2.6070725943782413
24,4,1,19.541498586698715,-0.4585014133012848
24,4,5,17.706023389984818,-2.293976610015182
24,4,9,16.946333493654116,-3.053666506345884
24,5,1,19.80853898298784,-0.19146101701215912
24,5,5,18.82402181990241,-1.1759781800975908
24,5,9,18.41464852276378,-1.5853514772362196
24,6,1,19.480394769233396,-0.5196052307666044
24,6,5,18.29971627282006,-1.70028372717994
24,6,9,18.00169602918562,-1.99830397081438
24,7,1,19.494272116868927,-0.5057278831310725
24,7,5,18.732410436805083,-1.2675895631949174
24,7,9,18.3526306467345,-1.6473693532654998
24,8,1,19.621708332060724,-0.37829166793927627
24,8,5,18.75534816374799,-1.244651836252011
24,8,9,18.411708279326508,-1.5882917206734923
24,9,1,19.193658308639918,-0.8063416913600818
24,9,5,17.973649519427575,-2.0263504805724253
24,9,9,17.653818140109692,-2.346181859890308
24,10,1,18.81817501896476,-1.1818249810352413
24,10,5,17.842924155498764,-2.157075844501236
24,10,9,17.638501917402493,-2.3614980825975067
24,11,1,19.581942314456988,-0.4180576855430118
24,11,5,18.70198082728741,-1.2980191727125892
24,11,9,18.382519843478676,-1.6174801565213244
24,12,1,19.010159136019706,-0.9898408639802945
24,12,5,17.95828675692458,-2.041713243075421
24,12,9,17.660120398424635,-2.3398796015753653
24,13,1,19.15170088593745,-0.8482991140625487
