subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,12,82,0.25374840852235786,-0.03916410820708178,0.5884786380589202,False,74,11,29.396026797385275,9.170294671976894,5.473434841232528,0.45108695652173914
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,13,84,0.31036694767097217,0.009596015490545198,0.5547740551194777,False,74,11,30.331434353742225,8.325613138337399,7.419197620333901,0.4268774703557312
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,14,86,0.2626450204022684,-0.023720977346933375,0.4940795220118518,False,74,11,14.749556392157501,12.120729698245373,8.100428572874621,0.5756756756756757
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,15,88,0.30994891268892594,0.03360609276514415,0.5888901551900041,False,74,11,18.84683673469408,10.977625215578735,7.493471371877878,0.4587737843551797
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,16,90,0.32097580045011465,0.01057432602589668,0.6048529615620892,False,74,11,39.53977933333317,7.54579409567652,4.9066557736025445,0.4161616161616162
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,17,92,0.23707439086104257,0.013535879915818413,0.5491430180771013,False,74,11,30.656806255834454,8.778781030678712,4.64230302018825,0.43359375
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,18,94,0.2259849577794084,-0.012897961128782953,0.5431245483428963,True,74,11,28.509637904761803,8.593557382744663,6.788498355671051,0.4103641456582633
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,19,96,0.3677379167488731,0.019979986028972562,0.6570600762815783,True,74,11,38.23532389115735,7.653667189994318,5.224020509943966,0.44723092998955066
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,20,98,0.27423188145088917,-0.008793539698784578,0.5310538884324996,True,74,11,37.825926857142804,9.202306997227696,6.849550971370872,0.3111814345991561
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,21,100,0.4756650439544169,0.10789209178038556,0.6747399281084095,True,74,11,58.008973333333415,6.029023683461621,5.291363882492415,0.27360441075120606
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,22,102,0.35175301873871856,0.11874753950587684,0.5370632003972635,True,74,11,32.0629806666675,7.5921006680673475,6.3247060692449875,0.39975093399750933
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,23,104,0.41278885184678593,0.07247903125743493,0.6444135395177806,True,74,11,77.4668773333342,5.718765817208198,5.075334937790021,0.24922600619195046
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,24,106,0.4663045908175822,-0.013460790103148094,0.6905349270354377,True,74,11,38.36500549019638,6.329428436642983,5.6794086138856805,0.39479166666666665
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,25,108,0.2678779741473877,0.03532912305925569,0.5204637482021236,True,74,11,19.55757581699345,9.941944405543234,6.204447578002309,0.4857142857142857
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,26,110,0.4224663093940074,0.06474827750313704,0.6041493481645714,True,74,11,63.20572933333278,5.296252967446177,4.367778005076134,0.3206831119544592
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,27,112,0.3128403267379057,0.0627111183348815,0.5760845410569582,True,74,11,51.093788666667024,6.492849834494473,5.691702372770358,0.3377638780297107
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,1,59,-0.0036559632776020116,-0.1783869528203095,0.2720881869748033,False,74,11,7.328078911565171,14.675320097428413,14.869816585123559,0.7663043478260869
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,2,61,0.11758766218781211,-0.07590068528802092,0.30066855201464143,False,74,11,10.537972745098159,14.031500774291464,8.416616877091784,0.6226415094339622
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,3,63,0.06749372378471735,-0.1069002696917104,0.3919382511360662,False,74,11,15.541593714286137,10.696241656250594,6.120233552992348,0.6246786632390745
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,4,65,0.0873060194201202,-0.1411167725418529,0.457035098452906,False,74,11,11.714245333333565,15.432171356724137,14.01521851715355,0.4778156996587031
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,5,67,0.08123177196978702,-0.09065376149832073,0.4551623445208876,False,74,11,15.359990612245383,11.130699139825511,5.663840389758067,0.6233766233766234
