subject,file,region,block,direction,raw_fit_status,raw_midpoint,behavior_cv_r2,behavior_ridge_alpha,adjusted_fit_status,adjusted_midpoint_usable,adjusted_low,adjusted_amplitude,adjusted_midpoint,adjusted_scale,adjusted_r_squared,adjusted_constant_aic,adjusted_sigmoid_aic,adjusted_delta_aic_sigmoid_minus_constant,adjusted_early_five_mean,adjusted_late_five_mean,adjusted_late_minus_early,adjusted_early_identity_null_q95,adjusted_early_identity_null_p,adjusted_early_spatial_null_q95,adjusted_early_spatial_null_p,adjusted_monotonic_trend_rho,adjusted_monotonic_trend_p,adjusted_n_scores
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,RSC,1,LtoR,present_from_first_observed_traversals,5.44283798478787,-0.25222709365186047,1.0,present_from_first_observed_traversals,False,0.16117025032408105,0.019186716131087533,9.037609747293933,0.5000002422365564,0.030526889827711345,-129.041610251341,-123.72366614130107,5.317944110039946,0.1564944522804808,0.15196639125826894,-0.004528061022211871,0.11031978656016288,0.0019960079840319,0.05679951794501659,0.0019960079840319,-0.016374929418407683,0.5289421157684631,22
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,RSC,1,RtoL,detectable_transition,15.995892277423968,-0.06234968518183215,1.0,present_from_first_observed_traversals,False,0.11779811575727582,0.07164586411268141,13.985825685077,1.9437738783411647,0.16888651753514416,-112.69668309823386,-110.58145067277042,2.1152324254634465,0.12082410316172756,0.1911739789460298,0.07034987578430224,0.10325887737328902,0.0139720558882235,0.05393685011868643,0.0019960079840319,0.31428571428571433,0.07984031936127745,21
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,RSC,2,LtoR,unresolved_nonmonotonic_or_weak,1.0304915110536408,0.0240777737595389,1.0,unresolved_nonmonotonic_or_weak,False,-0.009511888643060884,0.07322406653988268,4.939156337762631,0.5000000012431659,0.12373491270441439,-134.23918731240641,-131.6734395040421,2.565747808364307,-0.0022386209990802124,0.03950632595383926,0.04174494695291947,0.01326219887713534,0.1836327345309381,0.02201693941877124,0.1736526946107784,0.15965811965811963,0.22954091816367264,26
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,RSC,2,RtoL,present_from_first_observed_traversals,26.999999963854417,-0.24044461463589917,1.0,present_from_first_observed_traversals,False,0.0993154874870105,1.4152582719170306e-10,26.999999897411534,29.99999999997815,-5.831157778857232e-11,-158.98534974312707,-152.98534974155268,6.000000001574392,0.11513004035782273,0.09810122982776619,-0.017028810530056546,0.09017571625729644,0.0099800399201596,0.05148908932713234,0.0019960079840319,-0.09218559218559218,0.7005988023952096,27
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA1,1,LtoR,unresolved_nonmonotonic_or_weak,1.0000000000000002,-0.27857200389768977,1.0,detectable_transition,True,0.027087419403347406,0.33428122546091366,2.4256610962657654,1.4737492197687427,0.6127241378918918,-112.02236889756074,-127.84058330936429,-15.818214411803552,0.21508568227100158,0.34933745629983237,0.1342517740288308,0.05995393789150931,0.0019960079840319,0.10496075955941131,0.0019960079840319,0.5464426877470356,0.007984031936127744,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA1,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000044,0.0524718057525031,1.0,unresolved_nonmonotonic_or_weak,False,0.044983607237977015,0.49336729696008547,1.0000000000000004,7.111958421682564,0.6059914497353285,-109.12397567808458,-124.54577705911149,-15.42180138102691,0.3372961922231314,0.5102253488861582,0.17292915666302683,0.10666106611054726,0.0019960079840319,0.14171702044409426,0.0019960079840319,0.7697628458498025,0.001996007984031936,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA1,2,LtoR,present_from_first_observed_traversals,1.0000000000000002,-0.4921563717571731,1.0,present_from_first_observed_traversals,False,-0.039777488505645484,0.2616988384815318,1.000000000002405,0.5626249673807838,0.21004455177888037,-108.15736305989337,-106.87293765525575,1.2844254046376165,0.16763079036276668,0.22622882913103287,0.05859803876826619,0.07642932668444653,0.0019960079840319,0.09009944003858103,0.0039920159680638,0.2781954887218045,0.13972055888223553,20
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA1,2,RtoL,detectable_transition,6.240178371224349,-0.25296938846366945,1.0,detectable_transition,True,0.22810622480026488,0.15282502852022015,5.824522342218947,0.5000000000001069,0.5135375580040846,-89.7968446172564,-97.4881606516143,-7.691316034357897,0.2309175337253626,0.36166397510770254,0.13074644138233993,0.0832546892872199,0.0019960079840319,0.08190064646287579,0.0019960079840319,0.47543859649122805,0.023952095808383235,19
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA3,1,LtoR,unresolved_nonmonotonic_or_weak,1.0000000015083412,0.014252015031535059,1.0,detectable_transition,True,0.023303275860661,0.30997428231351115,3.3482392453693732,1.7383279108936631,0.653891903825325,-108.84573431609216,-127.24882944470241,-18.403095128610246,0.16976216407285905,0.3010225408981162,0.13126037682525715,0.08825894029492354,0.0039920159680638,0.07680016884986854,0.0019960079840319,0.49604743083003955,0.003992015968063872,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA3,1,RtoL,present_from_first_observed_traversals,22.999999999992934,-0.10692963817244316,1.0,present_from_first_observed_traversals,False,0.25242013006056124,7.31878258546289e-12,22.803368341374544,29.999627818585594,-7.172928917498211e-12,-130.00171484760926,-124.00171484744428,6.000000000164988,0.2687780760691346,0.27374526089886225,0.004967184829727633,0.12027326059719888,0.0019960079840319,0.11442997924716627,0.0019960079840319,-0.044466403162055336,0.5708582834331337,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA3,2,LtoR,present_from_first_observed_traversals,12.36995544574846,-0.6413925704008641,1.0,present_from_first_observed_traversals,False,0.1354782328575526,0.030812133019549486,12.30688501625481,0.5000008650872733,0.030987583688524944,-98.28120397562944,-92.91076104848001,5.370442927149426,0.13658713285231383,0.16686814321952229,0.030281010367208455,0.06839701206334295,0.0019960079840319,0.06435050385745264,0.0019960079840319,-0.013533834586466165,0.5429141716566867,20
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,CA3,2,RtoL,present_from_first_observed_traversals,5.686110946790458,-0.6510033556658914,1.0,unresolved_nonmonotonic_or_weak,False,0.09283023891171191,0.24893767989239501,1.0000000000000002,3.2984220565175058,0.2642408017751635,-97.47494331939761,-97.3051387315268,0.16980458787081432,0.24528353495083635,0.3721589128084279,0.12687537785759154,0.09592381118452425,0.0019960079840319,0.08140951818356856,0.0019960079840319,0.5578947368421052,0.007984031936127744,19
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,RSC,1,LtoR,present_from_first_observed_traversals,7.171367316589625,-0.7939871363981534,1.0,unresolved_nonmonotonic_or_weak,False,0.010452856490777027,0.2920709530364751,1.0000000000000002,3.0001628847118047,0.43598637456975076,-124.78915894893491,-131.96072694080215,-7.171567991867235,0.19377898781810568,0.30791480524121423,0.11413581742310855,0.05821391712752995,0.0019960079840319,0.036272538583399745,0.0019960079840319,0.5780632411067194,0.001996007984031936,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,RSC,1,RtoL,present_from_first_observed_traversals,1.3624612646404075,-0.003939137540192261,1.0,present_from_first_observed_traversals,False,0.07138959097531415,0.2945235931768095,1.6711800170862698,0.5000000000000034,0.5205546917249516,-120.00607304084454,-130.91395841545503,-10.907885374610487,0.3007145589868112,0.33145380344272785,0.030739244455916637,0.08531098387347182,0.0019960079840319,0.0762793745177884,0.0019960079840319,-0.11462450592885376,0.6986027944111777,23
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,RSC,2,LtoR,present_from_first_observed_traversals,1.5510819640880449,-0.4489251207230571,1.0,present_from_first_observed_traversals,False,0.09280093964543137,0.08310928073774045,1.0000000000000002,0.5000000000000001,0.01619724182845772,-103.16747557319533,-97.49407259389798,5.67340297929735,0.17168829921523612,0.14469819695121444,-0.02699010226402168,0.06289069770510156,0.0019960079840319,0.03996963257114966,0.0019960079840319,0.048120300751879695,0.40718562874251496,20
M03,sub-M03_ses-20240624T100000_behavior+ecephys.nwb,RSC,2,RtoL,present_from_first_observed_traversals,6.464208783518793,-1.1936964682553444,1.0,present_from_first_observed_traversals,False,0.2427170508967905,0.06404405962266278,10.777461184272264,3.4134951991040756,0.05037182285942732,-91.32901039159313,-86.3110208978117,5.017989493781428,0.2251171045511972,0.29131559729430967,0.06619849274311246,0.055600640997411896,0.0019960079840319,0.0436200776844133,0.0019960079840319,0.1824561403508772,0.2155688622754491,19
