subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,5,9,-0.02809756889064189,-0.02809756889064191,-0.028097568890641866,False,42,42,24.84468503401331,9.628506012729304,8.623209208304997,0.3504823151125402
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,6,11,0.07078561104304967,0.07078561104304963,0.07078561104304971,False,42,42,25.462502039214996,9.164045667443855,8.829569314972401,0.36891679748822603
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,7,13,0.15851232926158856,0.1585123292615885,0.1585123292615886,False,42,42,25.616128993464372,7.583773889659501,6.828832816871601,0.4914196567862715
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,8,15,0.14094925145587603,0.140949251455876,0.14094925145587608,False,42,42,20.069810666666854,10.927180075356194,10.287480076013889,0.43737574552683894
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,9,17,0.12335160421582939,0.12335160421582933,0.12335160421582943,False,42,42,20.58967333333294,9.769024642924334,8.313155506488403,0.4321705426356589
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,10,19,0.2153869017491989,0.21538690174919883,0.21538690174919897,False,42,42,28.22531866666759,7.044183310025263,6.137794289788954,0.4631728045325779
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,11,21,0.23691398757890642,0.23691398757890636,0.2369139875789065,False,42,42,26.37660751633939,9.264348775690603,8.216685869637404,0.37424242424242427
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,12,23,0.24043576772372352,0.24043576772372346,0.24043576772372366,False,42,42,44.41651600000023,8.492517867007214,5.634613828111684,0.23582358235823583
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,13,25,0.27904286662938205,0.27904286662938194,0.2790428666293821,False,42,42,20.618116993463445,10.180038019276997,9.125966478100832,0.4158607350096712
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,14,27,0.19674517376264128,0.19674517376264122,0.1967451737626413,False,42,42,32.86264800000026,8.554326291071131,7.126668719215478,0.32116788321167883
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,15,29,0.3400891625629975,0.3400891625629974,0.3400891625629976,False,42,42,26.755930980392804,8.749620641958641,7.086241999560125,0.4044776119402985
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,16,31,0.22599673591712208,0.22599673591712197,0.2259967359171223,False,42,42,16.75129666666726,9.76004848677183,9.52893002550385,0.580952380952381
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,17,33,0.1966676153214523,0.19666761532145224,0.19666761532145235,False,42,42,25.01162571428631,7.630218162448438,6.776445190359009,0.4968051118210863
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,18,35,0.3650039856919122,0.3650039856919121,0.36500398569191234,False,42,42,17.657685554220734,9.991442254985788,7.95193678759021,0.5158371040723982
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,19,37,0.35174890849460183,0.3517489084946017,0.3517489084946019,False,42,42,27.506919333332917,7.482502501489732,7.327934385413864,0.501453488372093
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,20,39,0.25744734242166417,0.25744734242166406,0.2574473424216642,False,42,42,29.487812366012804,11.278330709701123,6.923206463159395,0.2804878048780488
